date,department,sales_amount
2025-01-01,Electronics,45000
01-01-2025,Clothing,38000
2025/01/02,Electronics,
2025-01-03,Clothing,52000
2025-01-04,Grocery,29000
04-01-2025,Electronics,61000
2025/01/05,Clothing,41000
2025-01-06,Grocery,
06-01-2025,Electronics,72000
2025-01-07,Clothing,46000
2025/01/08,Grocery,33000
08-01-2025,Electronics,58000
2025-01-09,Clothing,
2025-01-10,Grocery,37000
10-01-2025,Electronics,69000
2025/01/11,Clothing,42000
2025-01-12,Grocery,31000
12-01-2025,Electronics,
2025-01-13,Clothing,54000
2025/01/14,Grocery,36000
14-01-2025,Electronics,75000
2025-01-15,Clothing,48000
2025/01/16,Grocery,
16-01-2025,Electronics,80000
2025-01-17,Clothing,51000

